Xcoor,Ycoor,Zcoor,Hydrolabel
-117.874108,33.710053,40.5,1
-117.874108,33.710053,39.5,1
-117.874108,33.710053,38.5,1
-117.874108,33.710053,37.5,1
-117.874108,33.710053,36.5,1
-117.874108,33.710053,35.5,1
-117.874108,33.710053,34.5,1
-117.874108,33.710053,33.5,1
-117.874108,33.710053,32.5,1
-117.874108,33.710053,31.5,0
-117.874108,33.710053,30.5,0
-117.874108,33.710053,29.5,0
-117.874108,33.710053,28.5,0
-117.874108,33.710053,27.5,1
-117.874108,33.710053,26.5,1
-117.874108,33.710053,25.5,1
-117.874108,33.710053,24.5,1
-117.874108,33.710053,23.5,0
-117.874108,33.710053,22.5,0
-117.874108,33.710053,21.5,1
-117.874108,33.710053,20.5,1
-117.874108,33.710053,19.5,1
-117.874108,33.710053,18.5,1
-117.874108,33.710053,17.5,1
-117.874108,33.710053,16.5,1
-117.874108,33.710053,15.5,1
-117.874108,33.710053,14.5,0
-117.874108,33.710053,13.5,0
-117.874108,33.710053,12.5,1
-117.874108,33.710053,11.5,0
-117.874108,33.710053,10.5,0
-117.874108,33.710053,9.5,1
-117.874108,33.710053,8.5,1
-117.874108,33.710053,7.5,0
-117.874108,33.710053,6.5,0
-117.874108,33.710053,5.5,0
-117.874108,33.710053,4.5,0
-117.874108,33.710053,3.5,0
-117.874108,33.710053,2.5,0
-117.874108,33.710053,1.5,0
-117.874108,33.710053,0.5,0
-117.874108,33.710053,-0.499,0
-117.874108,33.710053,-1.499,0
-117.874108,33.710053,-2.499,0
-117.874108,33.710053,-3.499,1
-117.874108,33.710053,-4.499,0
-117.874108,33.710053,-5.499,0
-117.874108,33.710053,-6.499,0
-117.874108,33.710053,-7.499,0
-117.874108,33.710053,-8.499,0
-117.874108,33.710053,-9.499,0
-117.874108,33.710053,-10.499,0
-117.874108,33.710053,-11.499,0
-117.874108,33.710053,-12.499,0
-117.874108,33.710053,-13.499,0
-117.874108,33.710053,-14.499,0
-117.874108,33.710053,-15.499,0
-117.874108,33.710053,-16.499,0
-117.874108,33.710053,-17.499,0
-117.874108,33.710053,-18.499,0
-117.874108,33.710053,-19.499,1
-117.874108,33.710053,-20.499,1
-117.874108,33.710053,-21.499,1
-117.874108,33.710053,-22.499,0
-117.874108,33.710053,-23.499,0
-117.874108,33.710053,-24.499,1
-117.874108,33.710053,-25.499,1
-117.874108,33.710053,-26.499,1
-117.874108,33.710053,-27.499,0
-117.874108,33.710053,-28.499,1
-117.874108,33.710053,-29.499,1
-117.874108,33.710053,-30.499,1
-117.874108,33.710053,-31.499,1
-117.874108,33.710053,-32.499,1
-117.874108,33.710053,-33.499,0
-117.874108,33.710053,-34.499,1
-117.874108,33.710053,-35.499,1
-117.874108,33.710053,-36.499,0
-117.874108,33.710053,-37.499,1
-117.874108,33.710053,-38.499,1
-117.874108,33.710053,-39.499,1
-117.874108,33.710053,-40.499,1
-117.874108,33.710053,-41.499,1
-117.874108,33.710053,-42.499,0
-117.874108,33.710053,-43.499,0
-117.874108,33.710053,-44.499,0
-117.874108,33.710053,-45.499,0
-117.874108,33.710053,-46.499,1
-117.874108,33.710053,-47.499,1
-117.874108,33.710053,-48.499,0
-117.874108,33.710053,-49.499,0
-117.874108,33.710053,-50.499,0
-117.874108,33.710053,-51.499,0
-117.871327,33.711578,44.5,1
-117.871327,33.711578,43.5,1
-117.871327,33.711578,42.5,1
-117.871327,33.711578,41.5,1
-117.871327,33.711578,40.5,1
-117.871327,33.711578,39.5,1
-117.871327,33.711578,38.5,1
-117.871327,33.711578,37.5,1
-117.871327,33.711578,36.5,1
-117.871327,33.711578,35.5,1
-117.871327,33.711578,34.5,1
-117.871327,33.711578,33.5,0
-117.871327,33.711578,32.5,0
-117.871327,33.711578,31.5,1
-117.871327,33.711578,30.5,1
-117.871327,33.711578,29.5,1
-117.871327,33.711578,28.5,1
-117.871327,33.711578,27.5,0
-117.871327,33.711578,26.5,1
-117.871327,33.711578,25.5,1
-117.871327,33.711578,24.5,1
-117.871327,33.711578,23.5,1
-117.871327,33.711578,22.5,1
-117.871327,33.711578,21.5,1
-117.871327,33.711578,20.5,1
-117.871327,33.711578,19.5,1
-117.871327,33.711578,18.5,1
-117.871327,33.711578,17.5,1
-117.871327,33.711578,16.5,0
-117.871327,33.711578,15.5,0
-117.871327,33.711578,14.5,0
-117.871327,33.711578,13.5,0
-117.871327,33.711578,12.5,0
-117.871327,33.711578,11.5,0
-117.871327,33.711578,10.5,0
-117.871327,33.711578,9.5,0
-117.871327,33.711578,8.5,0
-117.871327,33.711578,7.5,0
-117.871327,33.711578,6.5,0
-117.871327,33.711578,5.5,0
-117.871327,33.711578,4.5,0
-117.871327,33.711578,3.501,0
-117.871327,33.711578,2.501,0
-117.871327,33.711578,1.501,0
-117.871327,33.711578,0.501,0
-117.871327,33.711578,-0.499,0
-117.871327,33.711578,-1.499,0
-117.871327,33.711578,-2.499,0
-117.871327,33.711578,-3.499,0
-117.871327,33.711578,-4.499,0
-117.871327,33.711578,-5.499,0
-117.871327,33.711578,-6.499,0
-117.871327,33.711578,-7.499,0
-117.871327,33.711578,-8.499,0
-117.871327,33.711578,-9.499,0
-117.871327,33.711578,-10.499,0
-117.871327,33.711578,-11.499,0
-117.871327,33.711578,-12.499,0
-117.871327,33.711578,-13.499,0
-117.871327,33.711578,-14.499,0
-117.871327,33.711578,-15.499,1
-117.871327,33.711578,-16.499,1
-117.871327,33.711578,-17.499,0
-117.871327,33.711578,-18.499,0
-117.871327,33.711578,-19.499,0
-117.871327,33.711578,-20.499,0
-117.871327,33.711578,-21.499,0
-117.871327,33.711578,-22.499,0
-117.871327,33.711578,-23.499,0
-117.871327,33.711578,-24.499,0
-117.871327,33.711578,-25.499,0
-117.871327,33.711578,-26.499,0
-117.871327,33.711578,-27.499,0
-117.871327,33.711578,-28.499,1
-117.871327,33.711578,-29.499,0
-117.871327,33.711578,-30.499,0
-117.871327,33.711578,-31.499,1
-117.871327,33.711578,-32.499,1
-117.871327,33.711578,-33.499,1
-117.871327,33.711578,-34.499,1
-117.871327,33.711578,-35.499,0
-117.871327,33.711578,-36.499,0
-117.871327,33.711578,-37.499,0
-117.871327,33.711578,-38.499,1
-117.871327,33.711578,-39.499,1
-117.871327,33.711578,-40.499,1
