Xcoor,Ycoor,Zcoor,Indicator
0,6434.202393,134.998,1
0,6434.202393,133.998,1
0,6434.202393,132.998,1
0,6434.202393,131.998,1
0,6434.202393,130.998,1
0,6434.202393,129.998,1
0,6434.202393,128.998,1
0,6434.202393,127.998,1
0,6434.202393,126.998,1
0,6434.202393,125.998,0
0,6434.202393,124.998,0
0,6434.202393,123.998,0
0,6434.202393,122.998,0
0,6434.202393,121.998,1
0,6434.202393,120.998,1
0,6434.202393,119.998,1
0,6434.202393,118.998,1
0,6434.202393,117.998,0
0,6434.202393,116.998,0
0,6434.202393,115.998,1
0,6434.202393,114.998,1
0,6434.202393,113.998,1
0,6434.202393,112.998,1
0,6434.202393,111.998,1
0,6434.202393,110.998,1
0,6434.202393,109.998,1
0,6434.202393,108.998,0
0,6434.202393,107.998,0
0,6434.202393,106.998,1
0,6434.202393,105.998,0
0,6434.202393,104.998,0
0,6434.202393,103.998,1
0,6434.202393,102.998,1
0,6434.202393,101.998,0
0,6434.202393,100.998,0
0,6434.202393,99.998,0
0,6434.202393,98.998,0
0,6434.202393,97.998,0
0,6434.202393,96.998,0
0,6434.202393,95.998,0
0,6434.202393,94.998,0
0,6434.202393,93.999,0
0,6434.202393,92.999,0
0,6434.202393,91.999,0
0,6434.202393,90.999,1
0,6434.202393,89.999,0
0,6434.202393,88.999,0
0,6434.202393,87.999,0
0,6434.202393,86.999,0
0,6434.202393,85.999,0
0,6434.202393,84.999,0
0,6434.202393,83.999,0
0,6434.202393,82.999,0
0,6434.202393,81.999,0
0,6434.202393,80.999,0
0,6434.202393,79.999,0
0,6434.202393,78.999,0
0,6434.202393,77.999,0
0,6434.202393,76.999,0
0,6434.202393,75.999,0
0,6434.202393,74.999,1
0,6434.202393,73.999,1
0,6434.202393,72.999,1
0,6434.202393,71.999,0
0,6434.202393,70.999,0
0,6434.202393,69.999,1
0,6434.202393,68.999,1
0,6434.202393,67.999,1
0,6434.202393,66.999,0
0,6434.202393,65.999,1
0,6434.202393,64.999,1
0,6434.202393,63.999,1
0,6434.202393,62.999,1
0,6434.202393,61.999,1
0,6434.202393,60.999,0
0,6434.202393,59.999,1
0,6434.202393,58.999,1
0,6434.202393,57.999,0
0,6434.202393,56.999,1
0,6434.202393,55.999,1
0,6434.202393,54.999,1
0,6434.202393,53.999,1
0,6434.202393,52.999,1
0,6434.202393,51.999,0
0,6434.202393,50.999,0
0,6434.202393,49.999,0
0,6434.202393,48.999,0
0,6434.202393,47.999,1
0,6434.202393,46.999,1
0,6434.202393,45.999,0
0,6434.202393,44.999,0
0,6434.202393,43.999,0
0,6434.202393,42.999,0
844.1285647,6990.541836,138.998,1
844.1285647,6990.541836,137.998,1
844.1285647,6990.541836,136.998,1
844.1285647,6990.541836,135.998,1
844.1285647,6990.541836,134.998,1
844.1285647,6990.541836,133.998,1
844.1285647,6990.541836,132.998,1
844.1285647,6990.541836,131.998,1
844.1285647,6990.541836,130.998,1
844.1285647,6990.541836,129.998,1
844.1285647,6990.541836,128.998,1
844.1285647,6990.541836,127.998,0
844.1285647,6990.541836,126.998,0
844.1285647,6990.541836,125.998,1
844.1285647,6990.541836,124.998,1
844.1285647,6990.541836,123.998,1
844.1285647,6990.541836,122.998,1
844.1285647,6990.541836,121.998,0
844.1285647,6990.541836,120.998,1
844.1285647,6990.541836,119.998,1
844.1285647,6990.541836,118.998,1
844.1285647,6990.541836,117.998,1
844.1285647,6990.541836,116.998,1
844.1285647,6990.541836,115.998,1
844.1285647,6990.541836,114.998,1
844.1285647,6990.541836,113.998,1
844.1285647,6990.541836,112.998,1
844.1285647,6990.541836,111.998,1
844.1285647,6990.541836,110.998,0
844.1285647,6990.541836,109.998,0
844.1285647,6990.541836,108.998,0
844.1285647,6990.541836,107.998,0
844.1285647,6990.541836,106.998,0
844.1285647,6990.541836,105.998,0
844.1285647,6990.541836,104.998,0
844.1285647,6990.541836,103.998,0
844.1285647,6990.541836,102.998,0
844.1285647,6990.541836,101.998,0
844.1285647,6990.541836,100.998,0
844.1285647,6990.541836,99.998,0
844.1285647,6990.541836,98.998,0
844.1285647,6990.541836,97.999,0
844.1285647,6990.541836,96.999,0
844.1285647,6990.541836,95.999,0
844.1285647,6990.541836,94.999,0
844.1285647,6990.541836,93.999,0
844.1285647,6990.541836,92.999,0
844.1285647,6990.541836,91.999,0
844.1285647,6990.541836,90.999,0
844.1285647,6990.541836,89.999,0
844.1285647,6990.541836,88.999,0
844.1285647,6990.541836,87.999,0
844.1285647,6990.541836,86.999,0
844.1285647,6990.541836,85.999,0
844.1285647,6990.541836,84.999,0
844.1285647,6990.541836,83.999,0
844.1285647,6990.541836,82.999,0
844.1285647,6990.541836,81.999,0
844.1285647,6990.541836,80.999,0
844.1285647,6990.541836,79.999,0
844.1285647,6990.541836,78.999,1
844.1285647,6990.541836,77.999,1
844.1285647,6990.541836,76.999,0
844.1285647,6990.541836,75.999,0
844.1285647,6990.541836,74.999,0
844.1285647,6990.541836,73.999,0
844.1285647,6990.541836,72.999,0
844.1285647,6990.541836,71.999,0
844.1285647,6990.541836,70.999,0
844.1285647,6990.541836,69.999,0
844.1285647,6990.541836,68.999,0
844.1285647,6990.541836,67.999,0
844.1285647,6990.541836,66.999,0
844.1285647,6990.541836,65.999,1
844.1285647,6990.541836,64.999,0
844.1285647,6990.541836,63.999,0
844.1285647,6990.541836,62.999,1
844.1285647,6990.541836,61.999,1
844.1285647,6990.541836,60.999,1
844.1285647,6990.541836,59.999,1
844.1285647,6990.541836,58.999,0
844.1285647,6990.541836,57.999,0
844.1285647,6990.541836,56.999,0
844.1285647,6990.541836,55.999,1
844.1285647,6990.541836,54.999,1
844.1285647,6990.541836,53.999,1
844.1285647,6990.541836,52.999,0
844.1285647,6990.541836,51.999,0
844.1285647,6990.541836,50.999,0
844.1285647,6990.541836,49.999,0
844.1285647,6990.541836,48.999,0
844.1285647,6990.541836,47.999,0
844.1285647,6990.541836,46.999,0
844.1285647,6990.541836,45.999,0
844.1285647,6990.541836,44.999,0
844.1285647,6990.541836,43.999,0
844.1285647,6990.541836,42.999,0
844.1285647,6990.541836,41.999,0
844.1285647,6990.541836,40.999,1
844.1285647,6990.541836,39.999,0
844.1285647,6990.541836,38.999,0
844.1285647,6990.541836,37.999,0
844.1285647,6990.541836,36.999,0
844.1285647,6990.541836,35.999,0
844.1285647,6990.541836,34.999,0
844.1285647,6990.541836,33.999,0
844.1285647,6990.541836,32.999,0
844.1285647,6990.541836,31.999,0
844.1285647,6990.541836,30.999,0
844.1285647,6990.541836,29.999,0
844.1285647,6990.541836,28.999,0
844.1285647,6990.541836,27.999,0
844.1285647,6990.541836,26.999,1
844.1285647,6990.541836,25.999,0
844.1285647,6990.541836,24.999,1
844.1285647,6990.541836,23.999,1
844.1285647,6990.541836,22.999,0
844.1285647,6990.541836,22,0
844.1285647,6990.541836,21,0
843.825049,7241.168189,139.998,1
843.825049,7241.168189,138.998,1
843.825049,7241.168189,137.998,1
843.825049,7241.168189,136.998,1
843.825049,7241.168189,135.998,1
843.825049,7241.168189,134.998,1
843.825049,7241.168189,133.998,1
843.825049,7241.168189,132.998,1
843.825049,7241.168189,131.998,1
843.825049,7241.168189,130.998,1
843.825049,7241.168189,129.998,1
843.825049,7241.168189,128.998,0
843.825049,7241.168189,127.998,0
843.825049,7241.168189,126.998,1
843.825049,7241.168189,125.998,1
843.825049,7241.168189,124.998,1
843.825049,7241.168189,123.998,1
843.825049,7241.168189,122.998,1
843.825049,7241.168189,121.998,0
843.825049,7241.168189,120.998,0
843.825049,7241.168189,119.998,1
843.825049,7241.168189,118.998,1
843.825049,7241.168189,117.998,1
843.825049,7241.168189,116.998,1
843.825049,7241.168189,115.998,1
843.825049,7241.168189,114.998,1
843.825049,7241.168189,113.998,1
843.825049,7241.168189,112.998,1
843.825049,7241.168189,111.998,1
843.825049,7241.168189,110.998,1
843.825049,7241.168189,109.998,1
843.825049,7241.168189,108.998,0
843.825049,7241.168189,107.998,0
843.825049,7241.168189,106.998,0
843.825049,7241.168189,105.998,0
843.825049,7241.168189,104.998,1
843.825049,7241.168189,103.998,0
843.825049,7241.168189,102.998,0
843.825049,7241.168189,101.998,0
843.825049,7241.168189,100.998,0
843.825049,7241.168189,99.998,0
843.825049,7241.168189,98.999,0
843.825049,7241.168189,97.999,0
843.825049,7241.168189,96.999,0
843.825049,7241.168189,95.999,0
843.825049,7241.168189,94.999,0
843.825049,7241.168189,93.999,0
843.825049,7241.168189,92.999,0
843.825049,7241.168189,91.999,0
843.825049,7241.168189,90.999,0
843.825049,7241.168189,89.999,0
843.825049,7241.168189,88.999,0
843.825049,7241.168189,87.999,0
843.825049,7241.168189,86.999,0
843.825049,7241.168189,85.999,0
843.825049,7241.168189,84.999,0
843.825049,7241.168189,83.999,0
843.825049,7241.168189,82.999,0
843.825049,7241.168189,81.999,0
843.825049,7241.168189,80.999,0
843.825049,7241.168189,79.999,0
843.825049,7241.168189,78.999,0
843.825049,7241.168189,77.999,0
