       x_1              x_2            Y = ln T
    1.000000E-01    1.000000E-01       -1.662600
    1.000000E-01    3.000000E-01       -1.776200
    1.000000E-01    5.000000E-01       -1.822600
    1.000000E-01    7.000000E-01       -1.765200
    1.000000E-01    9.000000E-01       -1.586300
    1.000000E-01        1.100000       -1.273600
    1.000000E-01        1.300000   -8.160000E-01
    1.000000E-01        1.500000   -2.574000E-01
    1.000000E-01        1.700000    3.018000E-01
    1.000000E-01        1.900000    7.705000E-01
    1.000000E-01        2.100000        1.075800
    1.000000E-01        2.300000        1.185300
    1.000000E-01        2.500000        1.113300
    1.000000E-01        2.700000    9.196000E-01
    1.000000E-01        2.900000    6.819000E-01
    1.000000E-01        3.100000    4.120000E-01
    1.000000E-01        3.300000    1.284000E-01
    1.000000E-01        3.500000   -6.500000E-02
    1.000000E-01        3.700000   -1.449000E-01
    1.000000E-01        3.900000   -2.020000E-01
    1.000000E-01        4.100000   -2.469000E-01
    1.000000E-01        4.300000   -1.714000E-01
    1.000000E-01        4.500000   -3.430000E-02
    1.000000E-01        4.700000    2.220000E-02
    1.000000E-01        4.900000    3.529999E-02
    1.000000E-01        5.100000    7.350000E-02
    1.000000E-01        5.300000    2.086000E-01
    1.000000E-01        5.500000    4.284000E-01
    1.000000E-01        5.700000    6.024000E-01
    1.000000E-01        5.900000    6.692000E-01
    1.000000E-01        6.100000    4.470000E-01
    1.000000E-01        6.300000    1.164000E-01
    1.000000E-01        6.500000   -1.474000E-01
    1.000000E-01        6.700000   -2.634000E-01
    1.000000E-01        6.900000   -2.096000E-01
    1.000000E-01        7.100000   -3.640000E-02
    1.000000E-01        7.300000    1.351000E-01
    1.000000E-01        7.500000    2.187000E-01
    1.000000E-01        7.700000    2.149000E-01
    1.000000E-01        7.900000    1.817000E-01
    1.000000E-01        8.100000    1.451000E-01
    1.000000E-01        8.300000    7.110000E-02
    1.000000E-01        8.500000   -1.880000E-02
    1.000000E-01        8.700000   -1.200000E-01
    1.000000E-01        8.900001   -1.983000E-01
    1.000000E-01        9.100000   -1.852000E-01
    1.000000E-01        9.300000   -4.760000E-02
    1.000000E-01        9.500000    1.950000E-01
    1.000000E-01        9.700000        7.582300
    1.000000E-01        9.900001        7.826200
