%       x_1              x_2            Y = ln T
      0.100            0.500       -1.822600e+00
      0.100            1.900       +7.705000e-01
      0.100            4.100       -2.469000e-01
      0.100            5.700       +6.024000e-01
      0.100            6.300       +1.164000e-01
      0.100            7.500       +2.187000e-01
      0.100            8.700       -1.200000e-01
      0.100           10.300       +7.983100e+00
      0.100           10.900       +7.320300e+00
      0.100           11.900       +6.861300e+00
      0.300            0.500       -1.772600e+00
      0.300            1.500       -5.310000e-01
      0.300            2.100       +8.895000e-01
      0.300            2.900       +8.394000e-01
      0.300            3.300       +2.871000e-01
      0.300            5.900       +4.751000e-01
      0.300            6.100       +2.208000e-01
      0.300            8.500       +6.881700e+00
      0.300           11.500       +6.535400e+00
      0.300           11.700       +6.642200e+00
      0.500            0.300       -1.487300e+00
      0.500            0.500       -1.608200e+00
      0.500            2.700       +1.217900e+00
      0.500            3.700       +7.299997e-03
      0.500            4.900       -5.472000e-01
      0.500            5.500       -7.230000e-02
      0.500            7.300       -8.053000e-01
      0.500            8.700       -3.545000e-01
      0.500            9.500       +7.333700e+00
      0.500            9.900       +7.988300e+00
      0.500           10.700       +7.917000e+00
      0.500           11.100       +6.963200e+00
      0.500           11.500       +6.504200e+00
      0.700            1.300       -1.307700e+00
      0.700            1.700       -4.143000e-01
      0.700            3.300       +7.926000e-01
      0.700            3.700       +1.670000e-01
      0.700            3.900       -6.200000e-02
      0.700            4.300       -4.300000e-01
      0.700            4.900       -9.178000e-01
      0.700            5.300       -6.958000e-01
      0.700            7.700       +6.193200e+00
      0.700            9.500       +7.358800e+00
      0.700           10.700       +8.120000e+00
      0.900            0.700       -1.297500e+00
      0.900            1.100       -1.448500e+00
      0.900            1.300       -1.355000e+00
      0.900            2.500       +1.437200e+00
      0.900            5.100       -1.104700e+00
      0.900            5.500       -6.680000e-01
      0.900            6.300       -1.117500e+00
      0.900            6.700       -1.833800e+00
      0.900            8.500       -4.862000e-01
      0.900            8.700       -4.680000e-01
      0.900           10.500       +8.597400e+00
      0.900           11.100       +7.527500e+00
      1.100            0.300       -2.480000e-01
      1.100            4.500       -5.925000e-01
      1.100            5.500       +6.366300e+00
      1.100            6.900       -1.873700e+00
      1.100            8.300       -4.838000e-01
      1.100           10.700       +8.668300e+00
      1.100           11.500       +7.337400e+00
      1.300            0.300       +1.640000e-02
      1.300            1.100       -1.314800e+00
      1.300            1.700       -4.363000e-01
      1.300            2.100       +6.571000e-01
      1.300            2.700       +1.833200e+00
      1.300            2.900       +2.012300e+00
      1.300            3.300       +1.750900e+00
      1.300            5.700       +6.588500e+00
      1.300            7.100       +5.852300e+00
      1.300            7.700       +6.728700e+00
      1.300            9.500       +7.301400e+00
      1.300           10.300       +8.722900e+00
      1.300           11.100       +8.322100e+00
      1.500            0.700       -6.507000e-01
      1.500            3.700       +1.041800e+00
      1.500            4.500       +6.813800e+00
      1.500            5.900       +6.520900e+00
      1.500            7.500       +6.954100e+00
      1.500            8.700       -8.180000e-02
      1.500            9.500       +7.254000e+00
      1.500           11.700       +7.702200e+00
      1.700            0.100       +7.131000e-01
      1.700            1.500       -7.727000e-01
      1.700            1.700       -4.374000e-01
      1.700            2.300       +9.549000e-01
      1.700            3.300       +1.809200e+00
      1.700            4.900       +6.893600e+00
      1.700            6.900       +6.312800e+00
      1.700            7.500       +7.252500e+00
      1.700            8.500       +7.092900e+00
      1.700            8.700       +7.086200e+00
      1.700            9.300       +7.083400e+00
      1.700           10.900       +8.894200e+00
      1.900            1.100       -4.135000e-01
      1.900            2.500       +1.177900e+00
      1.900            3.700       +4.081000e-01
      1.900            3.900       -1.134000e-01
      1.900            5.500       +6.928200e+00
      1.900            5.700       +6.975100e+00
      1.900            7.300       +7.200800e+00
      1.900            8.900       +7.025800e+00
      1.900           10.100       +8.083700e+00
      1.900           10.900       +8.776800e+00
      2.100            0.500       +6.401000e-01
      2.100            3.500       +3.399000e-01
      2.100           10.700       +8.607500e+00
      2.100           11.500       +8.016000e+00
      2.100           11.700       +7.712300e+00
      2.300            0.300       +7.300000e-01
      2.300            4.100       -1.475100e+00
      2.300            4.300       -1.460900e+00
      2.300            4.900       +6.926300e+00
      2.300            6.100       +7.307000e+00
      2.300            6.700       +1.367000e-01
      2.300            7.300       +1.026000e-01
      2.300            7.700       +7.140900e+00
      2.300            8.500       +6.799800e+00
      2.300            8.700       +6.772300e+00
      2.300            9.300       +7.098500e+00
      2.300           10.500       +8.297700e+00
      2.500            1.100       +4.178000e-01
      2.500            1.500       -3.104000e-01
      2.500            2.500       -1.032000e-01
      2.500            2.900       +1.462000e-01
      2.500            3.100       -5.750000e-02
      2.500            4.500       -1.342500e+00
      2.500            7.100       +5.700000e-02
      2.500            9.500       +7.225300e+00
      2.500           10.100       +7.884800e+00
      2.500           11.900       +7.264200e+00
      2.700            1.700       +6.155900e+00
      2.700            2.300       -7.663000e-01
      2.700            2.500       -5.644000e-01
      2.700            4.100       -1.643200e+00
      2.700            7.900       +7.028600e+00
      2.700           11.300       +8.361000e+00
      2.700           11.500       +7.954600e+00
      2.900            0.300       +4.000000e-02
      2.900            0.700       +7.288600e+00
      2.900            2.100       -1.221400e+00
      2.900            2.900       -1.147400e+00
      2.900            4.300       +5.695100e+00
      2.900            4.700       +6.024900e+00
      2.900            4.900       +6.165900e+00
      2.900            5.500       +6.752300e+00
      2.900            5.700       +7.054300e+00
      2.900            6.500       +7.318000e-01
      2.900            8.500       +6.881800e+00
      2.900           11.900       +7.111500e+00
      3.100            0.500       +7.196800e+00
      3.100            1.500       -1.228000e+00
      3.100            3.300       -1.537200e+00
      3.100            3.700       +5.740500e+00
      3.100            4.500       +5.913000e+00
      3.100            4.700       +5.994400e+00
      3.100            6.500       +7.460000e-01
      3.100            8.700       +7.194100e+00
      3.100            8.900       +7.224100e+00
      3.100           10.900       +9.006200e+00
      3.100           11.100       +8.750200e+00
      3.100           11.700       +7.426400e+00
      3.300            0.100       +4.130000e-01
      3.300            4.300       +5.900400e+00
      3.300            7.300       -1.387000e-01
      3.300            8.300       +7.393700e+00
      3.300            8.500       +7.423600e+00
      3.300            8.700       +7.437900e+00
      3.300            9.300       +7.539300e+00
      3.300           10.100       +8.634200e+00
      3.500            3.700       -1.144000e+00
      3.500            3.900       -1.148500e+00
      3.500            4.700       +5.699600e+00
      3.500            6.100       +7.074200e+00
      3.500            6.500       +7.388300e+00
      3.500           11.700       +7.204200e+00
      3.700            0.100       +1.139600e+00
      3.700            2.700       -2.569000e-01
      3.700            2.900       +6.800000e+00
      3.700            4.300       +5.801400e+00
      3.700            5.100       +5.218600e+00
      3.700            6.700       +3.249999e-02
      3.700            9.300       +7.725400e+00
      3.700            9.500       +7.858300e+00
      3.900            0.900       +3.711000e-01
      3.900            1.100       -1.114000e-01
