%       x_1              x_2            Y = ln T
      0.100            5.700       +6.024000e-01
      0.100           11.100       +7.005200e+00
      0.300            9.300       -2.220000e-02
      0.300            9.900       +7.914600e+00
      0.500            4.100       -3.025000e-01
      0.500            9.900       +7.988300e+00
      0.500           10.300       +8.382000e+00
      0.700            5.700       -1.643000e-01
      0.700            7.100       -1.437200e+00
      0.900            2.900       +1.567700e+00
      0.900            5.900       +6.778200e+00
      0.900            7.900       +6.239600e+00
      0.900            8.700       -4.680000e-01
      1.100            1.500       -9.262000e-01
      1.100            3.100       +1.732500e+00
      1.100            9.900       +8.060300e+00
      1.100           11.500       +7.337400e+00
      1.300            1.700       -4.363000e-01
      1.300            1.900       +6.859999e-02
      1.300            3.300       +1.750900e+00
      1.300            4.300       +6.941800e+00
      1.300            5.500       +6.404300e+00
      1.500            5.100       +6.636000e+00
      1.500            7.300       +6.672400e+00
      1.500           10.300       +8.649300e+00
      1.700            4.700       +6.864700e+00
      1.700            6.700       -1.076200e+00
      1.700            9.300       +7.083400e+00
      1.900            0.500       +3.570000e-01
      1.900            4.700       +6.886600e+00
      1.900            7.500       +7.348300e+00
      2.100            0.300       +7.580000e-01
      2.100            0.900       +2.186000e-01
      2.100            2.100       +5.670000e-02
      2.100            2.300       +4.267000e-01
      2.100            4.900       +7.069400e+00
      2.100            8.700       +6.862100e+00
      2.100           10.100       +7.953300e+00
      2.300            2.100       -2.784000e-01
      2.300           10.900       +8.592100e+00
      2.500           10.500       +8.432400e+00
      2.700            6.300       +7.652000e+00
      2.700            7.100       +2.530000e-02
      2.700            7.700       +7.089300e+00
      2.700            8.500       +6.698400e+00
      2.900            7.700       -3.300000e-02
      3.100            0.100       +1.017000e-01
      3.100            0.700       +7.117200e+00
      3.100            6.700       +6.027000e-01
      3.100            8.900       +7.224100e+00
      3.100            9.300       +7.379500e+00
      3.100           10.100       +8.563200e+00
      3.300            7.100       -3.840000e-02
      3.500            1.300       +6.287000e+00
      3.500            2.500       -8.222000e-01
      3.500            2.700       -8.826000e-01
      3.500            3.700       -1.144000e+00
      3.500            8.300       +7.568600e+00
      3.500            9.300       +7.681600e+00
      3.500           11.900       +6.820400e+00
      3.700            4.500       +5.659200e+00
      3.700            5.500       +5.558800e+00
      3.700            7.100       +7.150600e+00
      3.700            7.300       +7.279700e+00
      3.700           10.100       +8.319600e+00
      3.900           10.100       +8.020800e+00
      3.900           11.700       +7.008000e+00
      4.100            1.900       +6.075300e+00
      4.100            2.300       +6.891100e+00
      4.100           11.900       +6.771400e+00
      4.300            4.900       +5.475000e+00
      4.300            6.900       +7.518700e+00
      4.300            7.300       +7.843800e+00
      4.300            8.900       +6.605300e+00
      4.500            1.700       +6.125800e+00
      4.500            5.300       +5.931300e+00
      4.500           10.300       +6.227600e+00
      4.500           11.700       +6.570200e+00
      4.700            0.300       +8.231700e+00
      4.700            0.700       +7.833800e+00
      4.900            9.500       +5.709700e+00
      5.100           10.500       +5.282900e+00
      5.300            1.300       +5.713500e+00
      5.300            2.700       +5.356800e+00
      5.300            3.300       +5.989700e+00
      5.500            6.300       +7.543700e+00
      5.500            9.900       +6.057100e+00
      5.500           10.300       +5.621900e+00
      5.500           10.700       +5.366000e+00
      5.500           11.700       +5.281800e+00
      5.700            2.300       +5.387200e+00
      5.700            6.900       +7.299000e+00
      5.900            8.300       +7.131300e+00
      5.900           10.300       +6.199400e+00
      6.100            0.500       +6.803600e+00
      6.100            3.900       +6.417800e+00
      6.300            2.100       +5.866800e+00
      6.300            4.700       +6.866700e+00
      6.300            5.100       +7.147100e+00
      6.300            7.900       +3.626000e-01
      6.300            8.900       +6.697400e+00
      6.300           10.100       +6.860300e+00
      6.300           11.500       +5.845600e+00
      6.500            1.700       +6.269000e+00
      6.500            2.100       +6.067800e+00
      6.700            2.300       +6.136700e+00
      6.700            3.700       +6.746000e+00
      6.700           10.500       +7.258800e+00
      6.900            9.900       +7.046400e+00
      6.900           11.100       +6.407400e+00
      7.100           10.900       +6.778500e+00
      7.100           11.100       +6.550100e+00
      7.300            5.900       +7.022300e+00
      7.300            6.900       -8.910000e-02
      7.300            8.500       -5.853000e-01
      7.500            0.900       +6.902700e+00
      7.500            9.100       +6.686000e+00
      7.500            9.300       +6.946900e+00
      7.500            9.500       +7.178100e+00
