%       x_1              x_2            Y = ln T
      0.100            0.500       -1.822600e+00
      0.100            1.300       -8.160000e-01
      0.100            2.700       +9.196000e-01
      0.100            3.700       -1.449000e-01
      0.100            4.700       +2.220000e-02
      0.100            5.100       +7.350000e-02
      0.100            7.100       -3.640000e-02
      0.100           10.300       +7.983100e+00
      0.100           11.300       +6.747600e+00
      0.300            1.500       -5.310000e-01
      0.300            3.100       +5.806000e-01
      0.300            3.500       +5.860000e-02
      0.300            4.100       -3.037000e-01
      0.300            5.100       -1.346000e-01
      0.300            7.300       -2.913000e-01
      0.300            7.700       -1.844000e-01
      0.300            7.900       +6.895300e+00
      0.300            8.100       +6.888200e+00
      0.300            8.300       +6.884000e+00
      0.300           11.900       +6.850600e+00
      0.500            0.300       -1.487300e+00
      0.500            0.700       -1.665300e+00
      0.500            3.500       +2.262000e-01
      0.500            5.100       -5.105000e-01
      0.500            5.700       +1.550000e-01
      0.500            6.300       -4.213000e-01
      0.500            7.900       -5.675000e-01
      0.500            8.100       +6.590500e+00
      0.500           10.500       +8.252400e+00
      0.500           11.500       +6.504200e+00
      0.500           11.900       +6.794300e+00
      0.700            0.300       -1.080000e+00
      0.700            3.100       +1.113200e+00
      0.700            7.100       -1.437200e+00
      0.700            7.300       -1.224900e+00
      0.700            7.700       +6.193200e+00
      0.700            8.100       -6.962000e-01
      0.700            9.700       +7.698600e+00
      0.700           11.500       +6.630600e+00
      0.700           11.900       +6.781100e+00
      0.900            0.500       -9.923000e-01
      0.900            1.500       -9.912000e-01
      0.900            2.100       +6.005000e-01
      0.900            3.300       +1.117400e+00
      0.900            3.700       +4.148000e-01
      0.900            4.500       -6.728000e-01
      0.900            6.100       +6.542100e+00
      0.900            6.300       -1.117500e+00
      0.900            7.500       -1.155400e+00
      0.900            9.500       +7.394600e+00
      0.900           10.100       +8.420800e+00
      0.900           11.700       +6.854700e+00
      1.100            3.100       +1.732500e+00
      1.100            3.700       +7.014000e-01
      1.100            4.300       -3.018000e-01
      1.100            6.100       +6.369900e+00
      1.100            6.300       -1.294300e+00
      1.100            8.100       -5.910000e-01
      1.100           11.500       +7.337400e+00
      1.300            0.300       +1.640000e-02
      1.300            0.500       -4.595000e-01
      1.300            0.700       -9.042000e-01
