%       x_1              x_2            Y = ln T
      0.100            0.900       -1.586300e+00
      0.100            1.700       +3.018000e-01
      0.100            4.500       -3.430000e-02
      0.100            7.300       +1.351000e-01
      0.100            9.700       +7.582300e+00
      0.100           10.500       +7.888200e+00
      0.100           10.900       +7.320300e+00
      0.300            1.700       +4.799999e-03
      0.300            5.500       +2.411000e-01
      0.300            7.100       -4.365000e-01
      0.300           10.100       +8.120800e+00
      0.500            1.500       -7.640000e-01
      0.500            2.300       +1.052800e+00
      0.500            3.500       +2.262000e-01
      0.500            5.500       -7.230000e-02
      0.500            9.900       +7.988300e+00
      0.700            1.300       -1.307700e+00
      0.700            6.500       -1.234400e+00
      0.700            7.100       -1.437200e+00
      0.700            7.300       -1.224900e+00
      0.700            8.100       -6.962000e-01
      0.700            9.500       +7.358800e+00
      0.700           11.500       +6.630600e+00
      0.900            0.500       -9.923000e-01
      0.900            4.500       -6.728000e-01
      0.900            7.300       -1.401500e+00
      0.900            8.100       -7.205001e-01
      0.900           11.500       +6.916100e+00
      1.100            1.500       -9.262000e-01
      1.100            8.100       -5.910000e-01
      1.100            8.500       -3.984000e-01
      1.100            9.700       +7.693600e+00
      1.300            2.300       +1.223400e+00
      1.300            3.100       +2.012300e+00
      1.300            3.700       +9.510000e-01
      1.300            7.300       +6.236000e+00
      1.500            6.300       +6.009600e+00
      1.500            6.900       +5.835900e+00
      1.700            4.300       -2.404000e-01
      1.700            5.700       +6.766100e+00
      1.700           11.500       +8.089400e+00
      1.900            4.100       -4.603000e-01
      1.900            7.100       -1.422000e-01
      1.900            9.900       +7.803300e+00
      1.900           10.900       +8.776800e+00
      2.100            5.300       +7.060100e+00
      2.100            7.700       +7.290500e+00
      2.100           10.100       +7.953300e+00
      2.300            0.100       +5.909000e-01
      2.300            0.900       +5.244000e-01
      2.300            1.900       -4.343000e-01
      2.300            3.300       +2.019000e-01
      2.300            3.700       -8.561000e-01
      2.300            4.900       +6.926300e+00
      2.300            7.700       +7.140900e+00
      2.300            7.900       +7.123900e+00
      2.300           10.700       +8.509800e+00
      2.500            1.700       -6.312000e-01
      2.500            5.100       +6.738000e+00
      2.500            7.900       +7.018400e+00
      2.500            8.100       +6.958600e+00
      2.500           11.900       +7.264200e+00
      2.700            5.100       +6.485400e+00
      2.700            7.700       +7.089300e+00
      2.700            8.500       +6.698400e+00
      2.700           10.300       +8.407700e+00
      2.700           11.500       +7.954600e+00
      2.900            2.700       -9.953000e-01
      3.100            0.700       +7.117200e+00
      3.100            3.300       -1.537200e+00
      3.100            7.300       -1.092000e-01
      3.100           11.300       +8.333500e+00
      3.300            1.100       -5.018000e-01
      3.300            4.500       +5.904900e+00
      3.300            8.700       +7.437900e+00
      3.300            8.900       +7.442200e+00
      3.300           10.700       +8.878400e+00
      3.500            0.100       +8.046000e-01
      3.500            4.100       +5.922100e+00
      3.500            4.300       +5.877800e+00
      3.500            5.900       +6.702900e+00
      3.500            6.700       +1.811000e-01
      3.500           10.700       +8.533700e+00
      3.700            0.300       +1.085900e+00
      3.700            4.300       +5.801400e+00
      3.700            4.900       +5.311400e+00
      3.700            8.700       +7.658700e+00
      3.700            9.300       +7.725400e+00
      3.900            6.700       +7.063200e+00
      4.100            5.300       +5.412700e+00
      4.100            6.100       +6.613700e+00
      4.100           10.300       +7.449000e+00
      4.100           11.100       +7.139200e+00
      4.300            0.700       +8.107600e+00
      4.300            2.900       +6.941100e+00
      4.300            3.700       +6.395400e+00
      4.300            5.300       +5.681100e+00
      4.300           11.700       +6.857200e+00
      4.500            2.500       +6.676400e+00
      4.500            5.100       +5.773400e+00
      4.500            8.100       +6.899900e+00
      4.500            9.300       +5.967800e+00
      4.500           10.100       +6.312300e+00
      4.700            0.100       +8.212300e+00
      4.700            3.500       +6.310400e+00
      4.700            7.900       +7.093300e+00
      4.700            8.700       +5.990800e+00
      4.900            2.100       +5.901600e+00
      4.900            3.700       +6.208500e+00
      4.900            4.100       +6.030100e+00
      4.900            4.700       +5.923500e+00
      4.900            5.500       +6.775600e+00
      4.900            8.700       +5.884600e+00
      5.100            4.500       +6.071100e+00
      5.100            5.500       +7.068400e+00
      5.100            6.900       +8.213700e+00
      5.100            8.500       +6.034200e+00
      5.100            8.700       +5.946800e+00
      5.300            1.100       +6.082800e+00
      5.300            4.100       +6.255600e+00
      5.300            5.500       +7.247000e+00
      5.300            6.500       +7.821500e+00
      5.300            9.900       +5.789800e+00
      5.500            1.100       +5.962600e+00
      5.500            1.500       +5.506600e+00
      5.500            2.500       +5.319400e+00
      5.500            4.900       +6.696200e+00
      5.500            5.500       +7.275600e+00
      5.500            6.100       +7.474300e+00
      5.500           10.100       +5.846500e+00
      5.700            3.500       +6.180700e+00
      5.700            3.900       +6.326200e+00
      5.700            4.900       +6.714600e+00
      5.700            5.300       +7.085900e+00
      5.900            2.300       +5.431100e+00
      5.900            4.300       +6.313600e+00
      5.900            5.300       +7.055400e+00
      5.900            7.300       +7.578600e+00
      5.900            8.500       +6.881300e+00
      5.900            9.300       +6.711500e+00
      6.100            2.100       +5.719200e+00
      6.100            2.700       +5.288700e+00
      6.100            6.900       +6.749900e+00
      6.100            8.500       +6.920200e+00
      6.100            9.900       +6.694600e+00
      6.100           10.500       +6.359500e+00
      6.300            0.300       +7.040100e+00
      6.300            1.700       +6.094400e+00
      6.300            4.500       +6.766100e+00
      6.300            4.700       +6.866700e+00
      6.300           10.100       +6.860300e+00
      6.500            2.900       +5.488100e+00
      6.500            3.700       +6.502500e+00
      6.500            4.100       +6.775700e+00
      6.500            4.300       +6.866100e+00
      6.700            5.300       +8.070000e-02
      6.700            5.700       -4.647000e-01
      6.700            7.100       +5.000000e-02
      6.700            7.500       +7.390700e+00
      6.700           11.300       +5.971300e+00
      6.700           11.700       +6.001500e+00
      6.900            0.500       +6.178300e+00
      6.900            4.500       +7.213400e+00
      6.900            5.500       -1.170000e-02
      6.900            8.700       +6.082700e+00
      6.900           10.100       +7.226900e+00
      7.100            0.100       +7.476200e+00
      7.100            2.900       +6.472100e+00
      7.100            3.100       +6.550900e+00
      7.100            4.700       +7.052200e+00
      7.100           10.300       +7.201800e+00
      7.100           10.900       +6.778500e+00
      7.300            0.500       +6.478600e+00
      7.300            2.300       +7.295900e+00
      7.300            3.700       +7.176300e+00
      7.300            7.300       +2.643000e-01
      7.300            9.700       +7.093700e+00
      7.500            2.100       +7.598700e+00
      7.500            3.300       +7.194200e+00
      7.500            4.500       -7.390000e-01
      7.500            5.300       +7.028300e+00
      7.500            6.500       +9.970000e-02
      7.500            6.900       +1.445000e-01
      7.500            7.300       +3.749000e-01
      7.500            8.300       +2.030000e-02
      7.500           10.100       +7.318700e+00
      7.500           10.500       +7.224700e+00
      7.700            2.500       +7.489400e+00
      7.700            2.900       +7.331000e+00
      7.700            5.100       +6.421500e+00
      7.700            6.300       +4.723000e-01
      7.700            9.900       +7.516900e+00
      7.700           11.500       +7.280700e+00
      7.900            0.100       +7.209900e+00
      7.900            1.300       +7.675000e+00
      7.900            3.500       +7.231200e+00
      7.900            5.100       +6.264400e+00
      7.900            8.100       +7.211300e+00
      7.900            8.300       +7.112900e+00
      7.900            8.700       +7.070600e+00
      7.900            9.100       +7.372200e+00
      7.900            9.900       +7.595400e+00
      7.900           11.700       +7.693700e+00
      8.100            1.900       +8.339400e+00
      8.100            2.300       +7.955000e+00
      8.100            2.500       +7.748400e+00
      8.100            8.300       +6.877600e+00
      8.100            9.300       +7.548300e+00
      8.300            1.900       +8.428500e+00
      8.300            7.500       +5.080000e-02
      8.300            8.700       +6.780300e+00
      8.300            8.900       +6.994400e+00
      8.500            2.300       +7.985300e+00
      8.500            2.700       +7.577800e+00
      8.500            3.100       +7.266700e+00
      8.500            4.500       -7.007000e-01
      8.500            5.500       +7.282700e+00
      8.700            6.100       +7.617900e+00
      8.700            7.500       -5.429000e-01
      8.700            8.300       +6.138400e+00
      8.900            0.100       +8.163000e+00
      8.900            7.500       -9.012000e-01
      8.900            9.100       +7.142900e+00
      8.900           10.500       +7.132800e+00
      8.900           11.100       +7.859900e+00
      9.100            0.500       +7.531000e+00
      9.100            1.500       +8.619500e+00
      9.100            3.100       +6.596700e+00
      9.100            5.100       +7.727600e+00
      9.100            6.900       -8.948000e-01
      9.100           10.300       +7.244500e+00
      9.100           10.700       +7.202900e+00
      9.300            3.700       -1.079800e+00
      9.300           10.500       +7.234000e+00
      9.500            7.300       -1.374100e+00
      9.500           11.900       +7.274400e+00
      9.700            1.300       +7.881700e+00
      9.700            5.500       +4.303000e-01
      9.700            5.900       +6.681000e+00
      9.700            9.500       +7.957800e+00
      9.700           11.700       +6.902300e+00
      9.900            0.300       +7.057700e+00
      9.900            1.700       +7.705700e+00
      9.900            1.900       +7.849100e+00
      9.900            2.900       +6.825800e+00
      9.900            6.900       -1.621000e+00
     10.100            7.900       -4.747000e-01
     10.100            8.500       +3.863000e-01
     10.300            0.900       +6.982900e+00
     10.300            2.700       +6.980200e+00
     10.300            4.500       +6.810700e+00
     10.300            5.100       +1.040000e-02
     10.500            0.300       +6.773900e+00
     10.500            1.900       +6.165000e+00
     10.500            4.500       -1.726000e-01
     10.500            5.500       +1.954000e-01
     10.500            6.300       -9.465000e-01
     10.700            3.500       +6.455000e+00
     10.700            4.900       -1.860000e-02
     10.700            5.100       +1.060000e-01
     10.700            5.900       -2.591000e-01
     10.700            7.900       -6.986000e-01
     10.700            8.500       -1.404000e-01
     10.900            2.300       +6.435200e+00
     10.900            5.500       +2.700000e-01
     10.900            5.700       +9.959999e-02
